name	writer
【書籍完結＆コミカライズ化】【本編・外伝完結済】剣聖の幼馴染がパワハラで俺につらく当たるので、絶縁して辺境で魔剣士として出直すことにした。（ＷＥＢ版）	シンギョウ　ガク
世界最速のレベルアップ　～無能スキル【ダンジョン内転移】が覚醒した結果、俺だけダンジョンのルールに縛られず最強になった～	八又ナガト
現実世界に現れたガチャに給料全部つぎ込んだら引くほど無双に	ARATA
乙女ゲー世界はモブに厳しい世界です	三嶋　与夢
特級探索師への覚醒　～蜥蜴の尻尾切りに遭った青年は、地獄の王と成り無双する～	笠鳴小雨
モンスターがあふれる世界になったので、好きに生きたいと思います	よっしゃあっ！
Ｄジェネシス　ダンジョンができて３年（web版）	之 貫紀
俺にはこの暗がりが心地よかった	星崎崑
アラフォー賢者の異世界生活日記	寿　安清
異世界食堂	犬塚惇平（犬派店主）
社畜ですが、種族進化して最強へと至ります	力水
災悪のアヴァロン 【書籍2巻 1/19発売】	鳴沢明人
【書籍化】現代陰陽師は転生リードで無双する	爪隠し
百合ゲー世界に、百合の間に挟まる男として転生してしまいました	とまとすぱげてぃ
冒険家になろう！　スキルボードでダンジョン攻略(WEB版)	萩鵜アキ
【書籍化】転生陰陽師・賀茂一樹【＆コミカライズ決定】	赤野用介
ダンジョンおじさん【Web版】	広路なゆる＠ダンジョンおじさん四巻執筆中
モブ高生の俺でも冒険者になればリア充になれますか？	百均
10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた	坂東太郎
村づくりゲームのＮＰＣが生身の人間としか思えない	昼熊
ログアウトしたのはＶＲＭＭＯじゃなく本物の異世界でした ～現実に戻ってもステータスが壊れている件～	とーわ
ハズレスキル「逃げる」で俺は極限低レベルのまま最強を目指す　～経験値抑制＆レベル１でスキルポイントが死ぬほどインフレ、スキルが取り放題になった件～	天宮暁
宝くじで40億当たったんだけど異世界に移住する	すずの木くろ
神の庭付き楠木邸【４巻3/17発売】	えんじゅ
ネトオク男の楽しい異世界貿易紀行	星崎崑
転生したので、たった一人で地球と貿易してみる　～ゲーム好き魔術少女の冒険譚～	あかい
異世界居酒屋「のぶ」	蝉川夏哉/逢坂十七年蝉
極東救世主伝説～極東で生まれたやべーやつは如何にして救世主と呼ばれるようになったか～	仏ょも
『ショップ』スキルさえあれば、ダンジョン化した世界でも楽勝だ　～迫害された少年の最強ざまぁライフ～	十本スイ
家の猫がポーションとってきた。	熊ごろう
【更新再開】庭に穴ができた。ダンジョンかもしれないけど俺はゴミ捨て場にしてる【書籍発売＆コミカライズ企画進行中】	ダイスケ
世界の闇と戦う秘密結社が無いから作った（半ギレ）	黒留ハガネ
その無限の先へ	二ツ樹五輪(*´∀｀*)
セブンス	三嶋　与夢
裏庭ダンジョンで年収120億円	三上康明
【書籍2巻発売中】攻略！大ダンジョン時代─俺だけスキルがやたらポエミーなんだけど─【本編第二部毎日更新】	てんたくろー/天鐸龍
ダンジョンで潮干狩りを	大正
【書籍化&amp;コミカライズ！】最強で最速の無限レベルアップ　～スキル【経験値1000倍】と【レベルフリー】でレベル上限の枷が外れた俺は無双する～(web版)	シオヤマ琴@コミカライズ2作、書籍化1作準備中
朝起きたらダンジョンが出現していた日常について……	ポンポコ狸
【書籍化】この世界がいずれ滅ぶことを、俺だけが知っている【コミカライズ連載中】	灰島シゲル
「書籍化」モブな主人公　〜小説の中のモブだけど問題がある	バッド
モブから始まる探索英雄譚	海翔
