name	season
デジモンアドベンチャー：	2020年夏
メイドインアビス 烈日の黄金郷	2022年夏
ふしぎの国のアリス	1983年秋
UFO戦士ダイアポロン	1976年春
不滅のあなたへ	2021年春
あしたへアタック！	1977年春
若草のシャルロット	1977年秋
くまクマ熊ベアー	2020年秋
オルタンシア・サーガ	2021年冬
ハクション大魔王2020	2020年春
バック・アロウ	2021年冬
ソードアート・オンライン アリシゼーション War of Underworld ‐THE LAST SEASON‐	2020年夏
炎炎ノ消防隊 弐ノ章	2020年夏
真・中華一番！ 第2期	2021年冬
ノー・ガンズ・ライフ 第2期	2020年夏
ひげを剃る。そして女子高生を拾う。	2021年春
文豪とアルケミスト 〜審判ノ歯車〜	2020年春
BEASTARS 第2期	2021年冬
食戟のソーマ 豪ノ皿	2020年夏
憂国のモリアーティ	2020年秋
怪物事変	2021年冬
ぼくたちのリメイク	2021年夏
困ったじいさん	2020年春
ワールドトリガー 2ndシーズン	2021年冬
ラブライブ！虹ヶ咲学園スクールアイドル同好会	2020年秋
Lapis Re:LiGHTs ラピスリライツ	2020年夏
彼女、お借りします	2020年夏
ブレーカーズ	2020年冬
はてな☆イリュージョン	2020年冬
Dr.STONE STONE WARS	2021年冬
犬と猫どっちも飼ってると毎日たのしい	2020年秋
IDOLY PRIDE	2021年冬
王様ランキング	2021年秋
本好きの下剋上 司書になるためには手段を選んでいられません 第2部	2020年春
『ヒプノシスマイク -Division Rap Battle-』Rhyme Anima	2020年秋
スケートリーディング☆スターズ	2021年冬
社長、バトルの時間です！	2020年春
りばあす	2020年冬
SHOW BY ROCK!! ましゅまいれっしゅ!!	2020年冬
呪術廻戦	2020年秋
回復術士のやり直し	2021年冬
イエスタデイをうたって	2020年春
おーばーふろぉ	2020年冬
スーパーカブ	2021年春
かくしごと	2020年春
モンスター娘のお医者さん	2020年夏
キングダム 第3シリーズ	2021年春
アルゴナビス from BanG Dream!	2020年春
ド級編隊エグゼロス	2020年夏
うらみちお兄さん	2021年夏
キミと僕の最後の戦場、あるいは世界が始まる聖戦	2020年秋
かぐや様は告らせたい？～天才たちの恋愛頭脳戦～	2020年春
魔女の旅々	2020年秋
たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語	2021年冬
うたわれるもの 二人の白皇	2022年夏
スライム倒して300年、知らないうちにレベルMAXになってました	2021年春
ドラゴン、家を買う。	2021年春
メジャーセカンド 第2シリーズ	2020年春
弱キャラ友崎くん	2021年冬
天晴爛漫！	2020年夏
アサルトリリィ BOUQUET	2020年秋
波よ聞いてくれ	2020年春
ありふれた職業で世界最強 2nd season	2022年冬
群れなせ！シートン学園	2020年冬
魔法科高校の劣等生 来訪者編	2020年秋
魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～	2020年夏
ピーター・グリルと賢者の時間	2020年夏
ダンジョンに出会いを求めるのは間違っているだろうか III	2020年秋
エイリは王さま！	2019年秋
魔王城でおやすみ	2020年秋
フルーツバスケット 2nd Season	2020年春
ランウェイで笑って	2020年冬
新サクラ大戦 the Animation	2020年春
ギャルと恐竜	2020年秋
池袋ウエストゲートパーク	2020年秋
アイカツオンパレード！	2019年秋
盾の勇者の成り上がり Season2	2022年春
ミュークルドリーミー	2020年春
XL上司。	2019年秋
宝石商リチャード氏の謎鑑定	2020年冬
浦島坂田船の日常	2019年秋
神田川JET GIRLS	2019年秋
サクガン	2021年秋
アフリカのサラリーマン	2019年秋
ゾイドワイルド ZERO	2019年秋
ゾンビランドサガ リベンジ	2021年春
織田シナモン信長	2020年冬
アルテ	2020年春
22/7	2020年冬
まえせつ！	2020年秋
GIBIATE the Animation	2020年夏
GREAT PRETENDER	2020年夏
恋とプロデューサー ～EVOL×LOVE～	2020年夏
ゴールデンカムイ 第3期	2020年秋
BNA ビー・エヌ・エー	2020年春
デカダンス	2020年夏
ID:INVADED イド:インヴェイデッド	2020年冬
私、能力は平均値でって言ったよね！	2019年秋
ネコぱら	2020年冬
ぼくたちは勉強ができない！	2019年秋
進撃の巨人 The Final Season Part.1	2020年秋
Z/X Code reunion	2019年秋
異種族レビュアーズ	2020年冬
この音とまれ！ 第2クール	2019年秋
異世界かるてっと2	2020年冬
球詠	2020年春
八十亀ちゃんかんさつにっき 2さつめ	2020年冬
兄に付ける薬はない！3 -快把我哥帯走3-	2019年秋
食戟のソーマ 神ノ皿	2019年秋
うちタマ?! ～うちのタマ知りませんか？～	2020年冬
MUTEKING THE Dancing HERO	2021年秋
錆色のアーマ -黎明-	2022年冬
戦×恋	2019年秋
Fairy gone フェアリーゴーン 2クール目	2019年秋
指先から本気の熱情-幼なじみは消防士-	2019年夏
のんのんびより のんすとっぷ	2021年冬
映像研には手を出すな！	2020年冬
安達としまむら	2020年秋
五等分の花嫁∬	2021年冬
D4DJ First Mix	2020年秋
七つの大罪 神々の逆鱗	2019年秋
アイ★チュウ	2021年冬
放課後ていぼう日誌	2020年夏
ライフル・イズ・ビューティフル	2019年秋
新・エースをねらえ！	1978年秋
ほら、耳がみえてるよ！ (第2シリーズ)	2019年春
超人高校生たちは異世界でも余裕で生き抜くようです！	2019年秋
トライナイツ	2019年夏
ギヴン	2019年夏
空挺ドラゴンズ	2020年冬
無職転生 ～異世界行ったら本気だす～	2021年冬
転生したらスライムだった件 第2期 第1部	2021年冬
厨病激発ボーイ	2019年秋
地縛少年花子くん	2020年冬
ノー・ガンズ・ライフ	2019年秋
ハイスコアガール II	2019年秋
プランダラ	2020年冬
ソマリと森の神様	2020年冬
はたらく細胞!!	2021年冬
啄木鳥探偵處	2020年春
number24	2020年冬
ACTORS -Songs Connection-	2019年秋
装甲娘戦機	2021年冬
われしょ！我ら小動物愛護委員会	2019年夏
おちこぼれフルーツタルト	2020年秋
約束のネバーランド Season 2	2021年冬
ソードアート・オンライン アリシゼーション War of Underworld	2019年秋
デュエル・マスターズ！！	2019年春
やはり俺の青春ラブコメはまちがっている。完	2020年夏
『続・終物語』&『<物語> シリーズ』セレクション	2019年春
Re:ゼロから始める異世界生活 2ndシーズン	2020年夏
凹凸世界	2019年春
キラッとプリ☆チャン シーズン2	2019年春
ゲゲゲの鬼太郎 第6シリーズ 地獄の四将編	2019年春
魔入りました！入間くん	2019年秋
プリンセスコネクト！Re:Dive	2020年春
